	chao1
1	595.0769230769231
10	643.0
11	663.0384615384615
12	891.5142857142857
13	655.3076923076923
14	814.9767441860465
15	630.6153846153846
2	630.75
3	570.375
4	209.25
5	210.85714285714286
6	634.8823529411765
7	855.0294117647059
8	735.0370370370371
9	646.6190476190476
