	pielou_evenness
1	0.8671635560974938
10	0.8708974114635408
11	0.8645589264378543
12	0.8348633749627125
13	0.8834668401741665
14	0.889940807731098
15	0.8863887693416369
2	0.868382857593979
3	0.8640449071503183
4	0.8429019659698392
5	0.815447773545655
6	0.876335477769707
7	0.8818443522559727
8	0.8789265974919054
9	0.8875177907292005
