	shannon_entropy
1	7.990321735810725
10	8.112539641164748
11	8.095846204353268
12	8.168833269939912
13	8.25144776974916
14	8.59999470482352
15	8.222252495850956
2	8.071289326174801
3	7.901395382349067
4	6.490715777253361
5	6.290564331965389
6	8.151231112003144
7	8.581508727510519
8	8.365332771365315
9	8.281354733142093
