	1	10	11	12	13	14	15	2	3	4	5	6	7	8	9
1	0.0	0.84535	0.76515	0.77715	0.7811	0.89985	0.7509	0.78035	0.72275	0.9709	1.0	0.7403	0.83385	0.7781	0.80955
10	0.84535	0.0	0.8284	0.86875	0.84965	0.92565	0.8245	0.8307	0.8154	0.9761	1.0	0.79805	0.85515	0.8709	0.8659
11	0.76515	0.8284	0.0	0.80315	0.78365	0.89965	0.8027	0.7663	0.73965	0.96855	0.99925	0.7594	0.81325	0.75375	0.7841
12	0.77715	0.86875	0.80315	0.0	0.7952	0.9161	0.8245	0.7977	0.77175	0.98425	0.99715	0.8013	0.811	0.7989	0.84725
13	0.7811	0.84965	0.78365	0.7952	0.0	0.90235	0.83145	0.79665	0.7741	0.97705	0.99925	0.80955	0.827	0.8079	0.82645
14	0.89985	0.92565	0.89965	0.9161	0.90235	0.0	0.92775	0.89925	0.90915	0.99885	0.99925	0.9244	0.9267	0.8973	0.88465
15	0.7509	0.8245	0.8027	0.8245	0.83145	0.92775	0.0	0.82875	0.78965	0.97885	0.99835	0.77085	0.84525	0.8061	0.8522
2	0.78035	0.8307	0.7663	0.7977	0.79665	0.89925	0.82875	0.0	0.74545	0.9794	1.0	0.7753	0.8694	0.78015	0.8178
3	0.72275	0.8154	0.73965	0.77175	0.7741	0.90915	0.78965	0.74545	0.0	0.97555	1.0	0.73985	0.8542	0.813	0.82335
4	0.9709	0.9761	0.96855	0.98425	0.97705	0.99885	0.97885	0.9794	0.97555	0.0	1.0	0.97535	0.9748	0.97285	0.9865
5	1.0	1.0	0.99925	0.99715	0.99925	0.99925	0.99835	1.0	1.0	1.0	0.0	1.0	0.9989	0.98605	0.99925
6	0.7403	0.79805	0.7594	0.8013	0.80955	0.9244	0.77085	0.7753	0.73985	0.97535	1.0	0.0	0.85425	0.81115	0.83505
7	0.83385	0.85515	0.81325	0.811	0.827	0.9267	0.84525	0.8694	0.8542	0.9748	0.9989	0.85425	0.0	0.83025	0.86455
8	0.7781	0.8709	0.75375	0.7989	0.8079	0.8973	0.8061	0.78015	0.813	0.97285	0.98605	0.81115	0.83025	0.0	0.81725
9	0.80955	0.8659	0.7841	0.84725	0.82645	0.88465	0.8522	0.8178	0.82335	0.9865	0.99925	0.83505	0.86455	0.81725	0.0
