	faith_pd
1	105.7752066192584
10	144.63669497566
11	124.2938663753417
12	123.6364073530949
13	112.267421062283
14	113.1810026950207
15	91.99695912077672
2	113.6093785511727
3	107.538055933611
4	35.69995372670174
5	21.90332268960027
6	102.7936140732031
7	105.7747410228864
8	107.0473990989013
9	106.7738571629399
