OTU ID	1	10	11	12	13	14	15	2	3	4	5	6	7	8	9
d0e4b1fa370c69f7bf6edc0ee3bd8721	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
dcaedd304dad3a6294225fc685bbc248	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
cdc8d6bc9d367a4f4fa09c9b351e865e	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
4bb373c6461f6894ca9833bba0d1d817	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
e3dd8f6d5141301aea9cf4d1012ed4a2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cf7a993853d59154863cf54082c7c577	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
7891868bc9f5df75fc46072c222b5dc4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
664b04b9c0f4c12f1b54d1f6ca7432ff	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
05481b1289252832cc27625e3899b377	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
dfd7b5bad28f6776b621a41ef153638c	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
bd6dda765a54e23099570e80cff27d33	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad1b37e1780036ad74c4a41b7a671565	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
01fbd1b0b6a4269ec58ecbb195ee7a66	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
3e019705d3246b9c3c36491de647dbd2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
42d87c3c411682698567c66ccadf5474	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
9eb6d6e7d370dd104eeb396eb4024401	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
e4e85302f1d1275e47cba3a3d73ae8d4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
8f79b07b6be992ea2a14ff151890e49e	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
23d08b45a8670b538803f3cbaf27434b	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
956657249fafba095be5ce96bc4ee053	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
1bb96a4800f654bf69fc305f3c6f091e	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
355d3a9882724f732bd8f5015ea595d8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e5e731ecd5bb92c399bae9a69e297f0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
f924ebfd1f4b870fd45037235ade113c	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
b7479b1eb1a1dd98fc77fcf92c41c43e	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
33a2e388f01a1c49bd3ad8c9eb7e5633	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b7f8156302da917249b1519eaaa5aab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
83021bbc64d8a041c1392935e9143fa4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0e005eb906bd66e1ead4ac0c98670206	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
eff0e4101b0575e2b6a2e8d5aaea5611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
95ec0d024b30d25ee0497a63dc48ec44	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
bf2c648f72b376b575d8586ea0f29d9e	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
4d6dba5a5653c9b293b72eefdebd2569	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
b24b7ae78582e98e249137b5740cb5f4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
0bc0cb95d7970c340d9b2f95dfc0a96c	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
be69ca5e78e722f816eddac563eabe93	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
91f47255147a3c8e828959c190d8c537	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
57c768ab404583abb5e86f75419807a7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
4631ed65e68a43a62a4fe155d13da306	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
4177e771a0cdcb6b4150ddfc2188fbe7	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
b0445323d1e8f38175c1c7d80751e5a4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
8b9c8ae957cf603f08cf0fc7ff09d2ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
dce996bd51e1a7d40829437db13ed372	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
abbb3bfb85d88a1e9ac889e0fecb20bb	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
c9b310c6ba095f9b044af3fd1e32332c	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
6fcac367a57ae5ecf4daae1b4c7d290e	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0c31587638c6f27ba82e769a655c9867	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
00ba79d1d7456ae74948710c83d85a7b	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
074d266a8aabdf37cbe14b7a65ad4b7a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
d8d699d9435ec128d9dc24cce3b9731e	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0
52a2c8c2412f47c5ea75682e7a732833	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
d7af2ddc881198dd48ffa4f53fd52802	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
5127c0b36a97dced3d33a53b31da271e	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
367cb9c3da3126411a98c237c51fd31e	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
2013d1e63b8cefea8cd037c12f54ba98	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
4b584a58a6b598f0df678f8db9aa678e	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
6711ad9d893ad0d260e8584508601644	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
4be8b58493f6007d500316a0f803098d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
2def21defe59c35e5eddcf879232a22a	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
c38745977fab66df88f70a15af7694a0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
0208543a64720fcdcb4a33bc6d4abbce	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
e135e7bcb22f255ab533aea8815f754d	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f991ac0e101dea262b14b57abd07c403	0	0	0	0	0	0	73	53	0	0	0	0	0	0	0
23628750d09ab174851989ab27aae7ac	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
f3c5d9d0a9dbfe41705cbd8bb16f6e10	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0
7584849a2268537d23eada84be8a1219	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
820575b24769befedb213ef4bc664b7b	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
53d16bb05938e0e8d04df5a3ca056bc4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
d61828602cc81ba77e7eb413c9bd1ae8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
707ce9b488735f6b12e436c2aca22982	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
4d573a72f22368a4dec2754c0eca2172	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
4d13268e592f5d85143dccba23ffa7d2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
26bed83458d0b11f3b572e071ac4af4f	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
a7531078d1e625c9ea5277aef47b70fb	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
1c37db26cea369656e24cedfa315513c	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
c5fe2080e95d2dff477e779a339fc7a0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
d74b9980a4f00ee149325e8148a0021d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
bc225e2ad921b8cb5d48529410fdc5cb	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
ef0809aa8ceb08f77915cb8a157b7538	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39c9d2e96281f52b23666546d1d90f30	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
f9452817aa03ecc8f9bd90b217066dcc	0	0	0	0	0	0	29	0	0	0	0	0	0	0	21
